model,pred_len,data_id,learning_rate,batch_size,patience,individual,train_epochs,lradj,mse,mae,exp_dir
DLinear,336,ECL,0.0005,32,3,0,10,type1,0.20946459472179413,0.30093708634376526,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_ECL_336_1.0_0.0_0.0005_type1_10_3_32
DLinear,720,ECL,0.0005,32,3,0,10,type1,0.24484862387180328,0.33350154757499695,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_ECL_720_1.0_0.0_0.0005_type1_10_3_32
DLinear,96,ETTh1,0.0005,32,3,0,10,type1,0.3889424204826355,0.4036716818809509,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_ETTh1_96_1.0_0.0_0.0005_type1_10_3_32
DLinear,192,ETTh1,0.0005,32,3,0,10,type1,0.44221821427345276,0.4398763179779053,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_ETTh1_192_1.0_0.0_0.0005_type1_10_3_32
DLinear,336,ETTh1,0.0005,32,3,0,10,type1,0.4884740114212036,0.46659550070762634,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_ETTh1_336_1.0_0.0_0.0005_type1_10_3_32
DLinear,720,ETTh1,0.0005,32,3,0,10,type1,0.5050578117370605,0.5024269819259644,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_ETTh1_720_1.0_0.0_0.0005_type1_10_3_32
DLinear,96,ETTh2,0.0005,32,3,0,10,type1,0.33002421259880066,0.3825846314430237,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_ETTh2_96_1.0_0.0_0.0005_type1_10_3_32
DLinear,192,ETTh2,0.0005,32,3,0,10,type1,0.439167320728302,0.4495277404785156,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_ETTh2_192_1.0_0.0_0.0005_type1_10_3_32
DLinear,336,ETTh2,0.0005,32,3,0,10,type1,0.5893800258636475,0.5375152230262756,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_ETTh2_336_1.0_0.0_0.0005_type1_10_3_32
DLinear,720,ETTh2,0.0005,32,3,0,10,type1,0.7571782469749451,0.6262186765670776,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_ETTh2_720_1.0_0.0_0.0005_type1_10_3_32
DLinear,96,ETTm1,0.0005,32,3,0,10,type1,0.3458496630191803,0.37335026264190674,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_ETTm1_96_1.0_0.0_0.0005_type1_10_3_32
DLinear,192,ETTm1,0.0005,32,3,0,10,type1,0.3803097605705261,0.38993409276008606,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_ETTm1_192_1.0_0.0_0.0005_type1_10_3_32
DLinear,336,ETTm1,0.0005,32,3,0,10,type1,0.41324299573898315,0.4139361083507538,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_ETTm1_336_1.0_0.0_0.0005_type1_10_3_32
DLinear,720,ETTm1,0.0005,32,3,0,10,type1,0.4717453122138977,0.44986268877983093,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_ETTm1_720_1.0_0.0_0.0005_type1_10_3_32
DLinear,96,ETTm2,0.0005,32,3,0,10,type1,0.1878827065229416,0.28294479846954346,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_ETTm2_96_1.0_0.0_0.0005_type1_10_3_32
DLinear,192,ETTm2,0.0005,32,3,0,10,type1,0.27969470620155334,0.3557722568511963,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_ETTm2_192_1.0_0.0_0.0005_type1_10_3_32
DLinear,336,ETTm2,0.0005,32,3,0,10,type1,0.3753751218318939,0.4202502965927124,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_ETTm2_336_1.0_0.0_0.0005_type1_10_3_32
DLinear,720,ETTm2,0.0005,32,3,0,10,type1,0.525771975517273,0.5081155300140381,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_ETTm2_720_1.0_0.0_0.0005_type1_10_3_32
DLinear,12,PEMS03,0.0005,32,3,0,10,type1,0.10502497851848602,0.22041785717010498,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_PEMS03_12_1.0_0.0_0.0005_type1_10_3_32
DLinear,24,PEMS03,0.0005,32,3,0,10,type1,0.1828930675983429,0.29687005281448364,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_PEMS03_24_1.0_0.0_0.0005_type1_10_3_32
DLinear,36,PEMS03,0.0005,32,3,0,10,type1,0.2576790452003479,0.3613201081752777,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_PEMS03_36_1.0_0.0_0.0005_type1_10_3_32
DLinear,48,PEMS03,0.0005,32,3,0,10,type1,0.31870585680007935,0.410236656665802,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_PEMS03_48_1.0_0.0_0.0005_type1_10_3_32
DLinear,12,PEMS08,0.0005,32,3,0,10,type1,0.11296194046735764,0.22522109746932983,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_PEMS08_12_1.0_0.0_0.0005_type1_10_3_32
DLinear,24,PEMS08,0.0005,32,3,0,10,type1,0.1986701488494873,0.30211690068244934,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_PEMS08_24_1.0_0.0_0.0005_type1_10_3_32
DLinear,36,PEMS08,0.0005,32,3,0,10,type1,0.2945089340209961,0.3706391751766205,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_PEMS08_36_1.0_0.0_0.0005_type1_10_3_32
DLinear,48,PEMS08,0.0005,32,3,0,10,type1,0.3889409303665161,0.428529292345047,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_PEMS08_48_1.0_0.0_0.0005_type1_10_3_32
DLinear,96,Traffic,0.0005,4,3,0,10,type1,0.6488514542579651,0.3965752422809601,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_Traffic_96_1.0_0.0_0.0005_type1_10_3_4
DLinear,192,Traffic,0.0005,4,3,0,10,type1,0.5984793305397034,0.370913565158844,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_Traffic_192_1.0_0.0_0.0005_type1_10_3_4
DLinear,336,Traffic,0.0005,4,3,0,10,type1,0.6052410006523132,0.3733278810977936,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_Traffic_336_1.0_0.0_0.0005_type1_10_3_4
DLinear,720,Traffic,0.0005,4,3,0,10,type1,0.6457996964454651,0.3953804075717926,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_Traffic_720_1.0_0.0_0.0005_type1_10_3_4
DLinear,96,Weather,0.0005,32,3,0,10,type1,0.19397175312042236,0.2532319128513336,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/DLinear_Weather_96_1.0_0.0_0.0005_type1_10_3_32
